% ============================================================================
%  This file contains customized matching keys for non decomposable characters
%  Name     :  MATCH_mar_in_basekeys.txt
%  Part of  : S60
%
%  Description : ELOCL.DLL for ELangMarathi, ELOCL.72
%  Generated on : 19.2.2007 9:29:27
%  Language : Marathi
%  Region : India
%
%  Copyright ©2007 Nokia Corporation. 
%  This material, including documentation and any related
%  computer programs, is protected by copyright controlled by
%  Nokia Corporation. All rights are reserved. Copying,
%  including reproducing, storing,  adapting or translating, any
%  or all of this material requires the prior written consent of
%  Nokia Corporation. This material also contains confidential
%  information which may not be disclosed to others without the
%  prior written consent of Nokia Corporation.
% ============================================================================

0950 ; [.01BF.0020.0002.0950] % OM is the first

%Numbers
0943 ; [.0BE1.0020.0002.0943] %	DEVANAGARI VOWEL SIGN VOCALIC R
0944 ; [.0BE2.0020.0002.0944] %	DEVANAGARI VOWEL SIGN VOCALIC RR
0945 ; [.0BE5.0020.0002.0945] %	DEVANAGARI VOWEL SIGN CANDRA E
0946 ; [.0BE6.0020.0002.0946] %	DEVANAGARI VOWEL SIGN SHORT E
0947 ; [.0BE7.0020.0002.0947] %	DEVANAGARI VOWEL SIGN E
0948 ; [.0BE8.0020.0002.0948] %	DEVANAGARI VOWEL SIGN AI
0949 ; [.0BE9.0020.0002.0949] %	DEVANAGARI VOWEL SIGN CANDRA O
094A ; [.0BEA.0020.0002.094A] %	DEVANAGARI VOWEL SIGN SHORT O
094B ; [.0BEB.0020.0002.094B] %	DEVANAGARI VOWEL SIGN O
094C ; [.0BEC.0020.0002.094C] %	DEVANAGARI VOWEL SIGN AU

%virama
094D ; [.0BED.0020.0002.094D] %	DEVANAGARI SIGN VIRAMA

%accents
0951 ; [.0000.00D1.0002.0951] %	DEVANAGARI STRESS SIGN UDATTA
0952 ; [.0000.00D2.0002.0952] %	DEVANAGARI STRESS SIGN ANUDATTA
0953 ; [.0000.00D3.0002.0953] %	DEVANAGARI GRAVE ACCENT
0954 ; [.0000.00D4.0002.0954] %	DEVANAGARI ACUTE ACCENT

%nukta consonants
0958 ; [.0BB9.00D0.0002.0958] %	DEVANAGARI LETTER QA; CANONSEQ
0959 ; [.0BBA.00D0.0002.0959] %	DEVANAGARI LETTER KHHA; CANONSEQ
095A ; [.0BBB.00D0.0002.095A] %	DEVANAGARI LETTER GHHA; CANONSEQ
095B ; [.0BC0.00D0.0002.095B] %	DEVANAGARI LETTER ZA; CANONSEQ
095C ; [.0BC5.00D0.0002.095C] %	DEVANAGARI LETTER DDDHA; CANONSEQ
095D ; [.0BC6.00D0.0002.095D] %	DEVANAGARI LETTER RHA; CANONSEQ
095E ; [.0BCE.00D0.0002.095E] %	DEVANAGARI LETTER FA; CANONSEQ
095F ; [.0BD2.00D0.0002.095F] %	DEVANAGARI LETTER YYA; CANONSEQ

%vowels
0960 ; [.0BAE.0020.0002.0960] %	DEVANAGARI LETTER VOCALIC RR
0961 ; [.0BB0.0020.0002.0961] %	DEVANAGARI LETTER VOCALIC LL

%vowel signs
0962 ; [.0BE3.0020.0002.0962] %	DEVANAGARI VOWEL SIGN VOCALIC L
0963 ; [.0BE4.0020.0002.0963] %	DEVANAGARI VOWEL SIGN VOCALIC LL

%punctuations
0964 ; [.022A.0020.0002.0964] %	DEVANAGARI DANDA
0965 ; [.022B.0020.0002.0965] %	DEVANAGARI DOUBLE DANDA

%devanagari digits
0966 ; [.06C5.0105.0002.0966] %	DEVANAGARI DIGIT ZERO
0967 ; [.06C6.0105.0002.0967] %	DEVANAGARI DIGIT ONE
0968 ; [.06C7.0105.0002.0968] %	DEVANAGARI DIGIT TWO
0969 ; [.06C8.0105.0002.0969] %	DEVANAGARI DIGIT THREE
096A ; [.06C9.0105.0002.096A] %	DEVANAGARI DIGIT FOUR
096B ; [.06CA.0105.0002.096B] %	DEVANAGARI DIGIT FIVE
096C ; [.06CB.0105.0002.096C] %	DEVANAGARI DIGIT SIX
096D ; [.06CC.0105.0002.096D] %	DEVANAGARI DIGIT SEVEN
096E ; [.06CD.0105.0002.096E] %	DEVANAGARI DIGIT EIGHT
096F ; [.06CE.0105.0002.096F] %	DEVANAGARI DIGIT NINE
0970 ; [.0285.0020.0002.0970] %	DEVANAGARI ABBREVIATION SIGN

% ---END OF FILE---
